gap_duration,contrast,n_flashes,response,rt,subject
14,1,2,1,1.267578125,3
56,1,2,1,0.669921875,3
21,1,2,1,0.595703125,3
7,1,2,0,1.3203125,3
0,1,1,0,0.6015625,3
0,0.5,1,0,0.59765625,3
28,0.5,2,1,0.697265625,3
56,0.5,2,1,0.693359375,3
21,1,2,1,0.486328125,3
7,1,2,0,0.7421875,3
0,0.5,1,0,0.73828125,3
49,1,2,1,0.82421875,3
49,1,2,1,0.71875,3
14,0.5,2,0,0.658203125,3
0,0.5,1,0,0.6328125,3
28,0.5,2,1,0.859375,3
28,0.5,2,1,0.6328125,3
35,1,2,1,0.580078125,3
28,0.5,2,1,0.81640625,3
14,1,2,0,0.59765625,3
42,0.5,2,1,0.515625,3
56,1,2,1,0.580078125,3
0,1,1,0,0.84765625,3
14,0.5,2,0,0.625,3
21,1,2,1,0.66015625,3
35,0.5,2,1,0.61328125,3
42,1,2,1,1.03125,3
0,0.5,1,0,0.736328125,3
56,1,2,1,0.55078125,3
42,1,2,1,0.6171875,3
0,1,1,0,0.759765625,3
0,1,1,0,0.75390625,3
0,1,1,0,0.6796875,3
0,0.5,1,0,1.01171875,3
42,1,2,1,0.45703125,3
21,0.5,2,1,1.26171875,3
49,0.5,2,1,0.873046875,3
49,1,2,1,0.748046875,3
35,1,2,1,0.44921875,3
0,0.5,1,0,0.765625,3
35,1,2,1,0.478515625,3
28,0.5,2,1,0.546875,3
0,0.5,1,0,1.06640625,3
0,0.5,1,0,0.634765625,3
35,0.5,2,1,0.994140625,3
0,1,1,0,0.630859375,3
0,0.5,1,0,0.615234375,3
0,0.5,1,0,0.724609375,3
0,1,1,0,0.56640625,3
28,1,2,1,0.552734375,3
0,1,1,0,0.73046875,3
35,1,2,1,0.681640625,3
0,1,1,0,0.578125,3
0,1,1,0,0.939453125,3
35,0.5,2,1,0.689453125,3
49,1,2,1,0.673828125,3
49,0.5,2,1,0.44921875,3
0,1,1,0,0.765625,3
0,0.5,1,0,0.892578125,3
28,0.5,2,1,0.427734375,3
28,1,2,1,0.796875,3
14,1,2,0,2.837890625,3
